macronutrient,Absolutely Perfect Palak Paneer,Alicia's Aloo Gobi,Aloo Matar,Aloo Phujia,Authentic Chicken Tikka Masala,Authentic Saag Paneer,Authentic and Easy Shrimp Curry,Baingan Bharta (Eggplant Curry),Butternut Squash Coconut Curry,Chana Masala (Savory Indian Chick Peas),Chef John's Chicken Tikka Masala,Chicken Korma II,Chicken Makhani (Indian Butter Chicken),Chicken Tikka Masala,Chickpea Curry,Cholay (Curried Chickpeas),Coconut Tofu Keema,Cod Curry,Curried Chicken and Brown Rice Casserole,Curried Mango Chicken,Curry Stand Chicken Tikka Masala Sauce,Curry in a Hurry,Delightful Indian Coconut Vegetarian Curry in the Slow Cooker,Easy Chicken Curry,Easy Chicken Korma,Easy Chicken Madras Recipe,Easy Indian Butter Chicken,Easy Indian-Style Chicken,Easy Masoor Daal,Easy Slow Cooker Chicken Tikka Masala,Evin's Indian Apricot Chicken,Grilled Chicken Thighs Tandoori,Indian Cauliflower,Indian Chicken Curry (Murgh Kari),Indian Chicken Curry I,Indian Chicken Curry II,Indian Dahl with Spinach,Indian Eggplant - Bhurtha,Indian Fish Curry,Indian Shrimp Curry,Indian Stir-Fried Shrimp in Cream Sauce (Bhagari Jhinga),Indian Style Sheekh Kabab,Indian Tandoori Chicken,Indian Tomato Chicken,Instant Pot Chicken Biryani,Keon's Slow Cooker Curry Chicken,Kerala Chicken Curry,Makhani Chicken (Indian Butter Chicken),Moong Dal,Murgh Makhani (Indian Butter Chicken),Navratan Korma,Potato Curry,Red Lentil Curry,Reshmi Kebab (Silken Kebabs),Slow Cooker Butter Chicken,Spicy Indian Chicken and Mango Curry,Spicy Lentil Quinoa Curry,Spicy Vegan Potato Curry,Tandoori Chicken II,Tofu Keema,Tofu Vindaloo,Vegetable Masala,Vegetarian Chickpea Curry with Turnips,Vegetarian Korma
calories,483.0,622.0,487.0,235.0,403.0,299.0,270.0,146.0,397.0,413.0,625.0,399.0,408.0,404.0,135.0,248.0,235.0,227.0,241.0,261.0,328.0,505.0,370.0,247.0,423.0,246.0,880.0,316.0,185.0,456.0,426.0,349.0,168.0,427.0,305.0,313.0,362.0,119.0,338.0,416.0,338.0,304.0,356.0,134.0,498.0,635.0,248.0,492.0,330.0,474.0,378.0,396.0,192.0,293.0,480.0,398.0,413.0,407.0,264.0,340.0,413.0,167.0,226.0,462.0
carbohydrates,27.3,64.0,81.7,25.7,20.5,18.0,5.3,15.2,34.2,46.2,19.2,13.5,15.6,13.3,20.5,40.2,17.4,11.4,34.5,16.5,13.2,73.1,48.8,7.9,16.7,20.7,12.8,11.4,25.0,10.4,55.8,5.4,15.1,14.7,9.8,14.0,44.9,13.4,11.6,10.9,7.3,4.7,13.7,6.9,62.4,32.0,7.8,19.0,57.1,12.9,32.4,64.7,32.5,5.3,17.2,31.1,62.1,50.6,0.7,20.2,33.2,29.8,33.6,41.3
fat,36.3,39.2,14.5,14.1,25.0,19.9,12.8,8.0,26.7,22.8,48.2,27.5,27.8,28.9,4.5,6.7,17.1,8.4,2.0,5.7,23.4,10.7,18.3,11.3,25.9,6.8,82.3,20.0,5.2,27.9,13.0,20.5,11.6,24.3,15.3,21.7,13.4,7.4,13.5,32.1,23.9,22.6,18.8,5.4,16.6,37.9,11.9,28.4,3.0,30.4,24.8,11.3,2.6,15.6,33.3,20.4,10.5,20.1,5.8,21.8,27.8,4.3,8.9,31.1
protein,19.5,13.1,9.0,3.3,27.2,17.1,30.7,4.0,10.8,9.4,33.5,25.4,23.4,24.6,4.1,8.5,7.8,23.6,22.7,33.1,17.9,29.5,8.2,28.5,31.5,25.6,26.4,24.6,11.1,40.7,24.9,34.2,4.6,38.1,33.0,19.1,21.0,2.4,41.6,23.0,25.0,20.1,35.6,14.7,25.4,45.2,25.8,35.8,21.1,38.1,10.1,11.3,12.1,33.0,30.6,26.5,19.8,10.1,49.1,21.4,15.1,4.2,6.7,8.6
